"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13712","Search Success","chromium","Thu Dec 26 13:48:40 IST 2024","passed","Thu Dec 26 13:48:54 IST 2024","Search Tests","search.spec.js","",""
"","817","Login Failure - Blank Fields","chromium","Thu Dec 26 13:48:40 IST 2024","passed","Thu Dec 26 13:48:40 IST 2024","Login Page Tests with Resource Data","login_attempt.spec.js","",""
"","1198","Assert all grid items have required properties using resource data","chromium","Thu Dec 26 13:48:39 IST 2024","passed","Thu Dec 26 13:48:40 IST 2024","Grid Page Tests with Resource Data","grid.spec.js","",""
"","1017","Assert product in position 7 using resource data","chromium","Thu Dec 26 13:48:39 IST 2024","passed","Thu Dec 26 13:48:40 IST 2024","Grid Page Tests with Resource Data","grid.spec.js","",""
"","966","Cart Total Test","chromium","Thu Dec 26 13:48:39 IST 2024","passed","Thu Dec 26 13:48:40 IST 2024","Checkout Form Tests","Checkout.spec.js","",""
"","4217","Search Empty","chromium","Thu Dec 26 13:48:40 IST 2024","passed","Thu Dec 26 13:48:44 IST 2024","Search Tests","search.spec.js","",""
"","1131","Login Failure - Invalid Credentials","chromium","Thu Dec 26 13:48:39 IST 2024","passed","Thu Dec 26 13:48:40 IST 2024","Login Page Tests with Resource Data","login_attempt.spec.js","",""
"","1061","Checkout Form Alert","chromium","Thu Dec 26 13:48:38 IST 2024","passed","Thu Dec 26 13:48:39 IST 2024","Checkout Form Tests","Checkout.spec.js","",""
"","1257","Checkout Form Order Success","chromium","Thu Dec 26 13:48:39 IST 2024","passed","Thu Dec 26 13:48:40 IST 2024","Checkout Form Tests","Checkout.spec.js","",""
"","1346","Login Success","chromium","Thu Dec 26 13:48:39 IST 2024","passed","Thu Dec 26 13:48:40 IST 2024","Login Page Tests with Resource Data","login_attempt.spec.js","",""
